Id,Name
1,Clive
2,Clive
3,Clive
4,Clive
5,Joshua
6,Clive
7,Joshua
8,Clive
9,Clive
10,Clive
100,Torgal
101,Torgal
110,Joshua
111,Joshua
120,Jill
121,Jill
130,Cid
200,Gav
201,Byron
202,Tyler
203,Wade
204,Lord Commander Murdoch
205,Tiamat
206,Aevis
208,Theodore
209,Wade
220,Shula
301,Ambrosia
901,Virtual Mugger
902,Virtual Weaver
903,Virtual Gigas
904,Virtual Aevis
905,Virtual Tognvaldr
906,Virtual Minotaur
907,Virtual Lich
908,Virtual Guardian
909,Virtual Champion
910,Virtual Mousse
911,Virtual Undertaker
912,Virtual Warlord
913,Virtual Wolf
914,Virtual Hornet
915,Virtual Elemental
916,Virtual Iron Giant
917,Virtual Cannonier
918,Virtual Salamander
919,Virtual Fanatic
920,Virtual Reaper
921,Virtual Coeurl
922,Virtual Marshal
923,Virtual Lancer
924,Virtual Sveithvaldr
925,Virtual Bavarois
926,Virtual Node
927,Virtual Aurum Giant
950,Virtual Domovikha
951,Virtual Domovoi
952,Virtual Omicron
953,Virtual Asterios
960,Virtual Creeper
961,Virtual Hexer
962,Virtual Master
963,Virtual Wolf Trap
964,Virtual Temple Coeurl
965,Virtual Frost Bomb
966,Virtual Egi
1101,Lord Commander Murdoch
1203,Goblin Mugger
1204,Goblin Mugger
1205,Goblin Mugger
1206,Goblin Weaver
1207,Gigas
1208,Goblin Mugger
1209,Goblin Mugger
1210,Goblin Mugger
1211,Goblin Weaver
1212,Morbol
1214,Goblin Weaver
1215,Goblin Mugger
1216,Goblin Mugger
1301,Armored Interloper
1302,Imperial Legionnaire
1303,Imperial Captain
1304,Imperial Legionnaire
1305,Imperial Astrologer
1306,Knight of the Blinding Dawn
1307,Imperial Captain
1308,Imperial Legionnaire
1309,Imperial Astrologer
1401,Phoenix
1402,Eikon of Fire
1403,Eikon of Fire
1501,Shiva's Dominant
1502,Ironblood Commander
1503,Ironblood Crusader
1504,Ironblood Crusader
1510,Ironblood Commander
1511,Tiamat
1512,Ironblood Crusader
1513,Ironblood Crusader
1601,Vampire Thorn
1602,Vampire Thorn
1603,Vampire Thorn
1605,Hornet
1606,Worgen
1607,Dragon Aevis
1608,Minotaur
1609,Fafnir
1610,Midnight Raven
1611,Royal Sigfreyr
1612,Silver Lobo
1613,Dragon Aevis
1614,Worgen
1615,Worgen
1618,Dragonet
1620,Green Fool
1622,Chimera
1623,Raptor
1624,Raptor
1632,Royal Osfreyr
1633,Royal Osfreyr
1651,Chirada
